============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jul 17 2023  08:26:43 pm
  Module:                 NTTN
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                           Module                   Cell Count   Cell Area  Net Area   Total Area   Wireload  
-------------------------------------------------------------------------------------------------------------------------------
NTTN                                                                     409515 1948264.902     0.000  1948264.902 <none> (D)  
          FA_LOOP[22].fau FA_662                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[23].fau FA_663                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[24].fau FA_664                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[25].fau FA_665                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[26].fau FA_666                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[27].fau FA_667                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[28].fau FA_668                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[29].fau FA_669                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[30].fau FA_670                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[31].fau FA_671                                              1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[32].fau FA_672                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[33].fau FA_673                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[34].fau FA_674                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[35].fau FA_675                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[36].fau FA_676                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[37].fau FA_677                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[38].fau FA_678                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[39].fau FA_679                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[40].fau FA_680                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[41].fau FA_681                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[42].fau FA_682                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[43].fau FA_683                                              1       3.762     0.000        3.762 <none> (D)  
