============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jul 26 2023  02:42:43 pm
  Module:                 ModRed
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

    Instance                     Module                 Cell Count  Cell Area  Net Area   Total Area   Wireload  
-----------------------------------------------------------------------------------------------------------------
ModRed                                                        6664  18594.540     0.000    18594.540 <none> (D)  
            m1   ka_2x2_1023_3168                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3169                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3170                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3171                                7      8.208     0.000        8.208 <none> (D)  
          m3     ka_4x4_14_784                                  20     32.148     0.000       32.148 <none> (D)  
            m2   ka_2x2_1023_3172                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3173                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_859                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3174                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3175                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3176                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3177                                7      8.208     0.000        8.208 <none> (D)  
      i4         ka_16x16_15_51                                754   1681.614     0.000     1681.614 <none> (D)  
        i1       ka_8x8_63_989                                 158    354.654     0.000      354.654 <none> (D)  
          m1     ka_4x4_255_860                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3178                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3179                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_861                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3182                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3183                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_255_862                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3186                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3187                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3188                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3189                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_863                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3190                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3191                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3192                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3193                                7      8.208     0.000        8.208 <none> (D)  
        i2       ka_8x8_63_990                                 158    354.654     0.000      354.654 <none> (D)  
          m1     ka_4x4_255_864                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3194                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3195                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_865                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3198                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3199                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_255_866                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3202                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3203                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3204                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3205                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_867                                 40     74.214     0.000       74.214 <none> (D)  
            m1   ka_2x2_1023_3206                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3207                                6      7.524     0.000        7.524 <none> (D)  
            m3   ka_2x2_1023_3208                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3209                                7      8.208     0.000        8.208 <none> (D)  
        i3       ka_8x8_63_991                                 194    392.958     0.000      392.958 <none> (D)  
          m1     ka_4x4_255_868                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3210                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3211                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3212                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3213                                7      8.208     0.000        8.208 <none> (D)  
          m2     ka_4x4_255_869                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3214                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3215                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3216                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3217                                7      8.208     0.000        8.208 <none> (D)  
          m3     ka_4x4_255_870                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3218                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3219                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3220                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3221                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_871                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3222                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3223                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3224                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3225                                7      8.208     0.000        8.208 <none> (D)  
        i4       ka_8x8_63_992                                 194    392.958     0.000      392.958 <none> (D)  
          m1     ka_4x4_255_872                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3226                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3227                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3228                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3229                                7      8.208     0.000        8.208 <none> (D)  
          m2     ka_4x4_255_873                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3230                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3231                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3232                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3233                                7      8.208     0.000        8.208 <none> (D)  
          m3     ka_4x4_255_874                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3234                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3235                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3236                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3237                                7      8.208     0.000        8.208 <none> (D)  
          m4     ka_4x4_255_875                                 42     75.582     0.000       75.582 <none> (D)  
            m1   ka_2x2_1023_3238                                7      8.208     0.000        8.208 <none> (D)  
            m2   ka_2x2_1023_3239                                7      8.208     0.000        8.208 <none> (D)  
            m3   ka_2x2_1023_3240                                7      8.208     0.000        8.208 <none> (D)  
            m4   ka_2x2_1023_3241                                7      8.208     0.000        8.208 <none> (D)  
  genblk1[2].mrs ka_ModRed_sub_CURR_DATA46_NEXT_DATA37        1595   4323.564     0.000     4323.564 <none> (D)  
    qH_mul_T2    ka_wI32_wO64_1009                            1423   3422.394     0.000     3422.394 <none> (D)  
      i1         ka_16x16_46                                    25     49.248     0.000       49.248 <none> (D)  
        i4       ka_8x8_3_971                                   25     49.248     0.000       49.248 <none> (D)  
          m2     ka_4x4_255_878                                  1      1.368     0.000        1.368 <none> (D)  
            m4   ka_2x2_1023_3259                                1      1.368     0.000        1.368 <none> (D)  
          m3     ka_4x4_14_786                                   1      1.368     0.000        1.368 <none> (D)  
            m4   ka_2x2_1023_3261                                1      1.368     0.000        1.368 <none> (D)  
          m4     ka_4x4_255_879                                 21     41.724     0.000       41.724 <none> (D)  
            m1   ka_2x2_1023_3262                                5      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3263                                6      7.524     0.000        7.524 <none> (D)  
      i2         ka_16x16_15_52                                319    861.498     0.000      861.498 <none> (D)  
        i1       ka_8x8_63_993                                  25     49.248     0.000       49.248 <none> (D)  
          m2     ka_4x4_255_881                                  1      1.368     0.000        1.368 <none> (D)  
            m4   ka_2x2_1023_3273                                1      1.368     0.000        1.368 <none> (D)  
          m3     ka_4x4_255_882                                  1      1.368     0.000        1.368 <none> (D)  
            m4   ka_2x2_1023_3277                                1      1.368     0.000        1.368 <none> (D)  
          m4     ka_4x4_255_883                                 21     41.724     0.000       41.724 <none> (D)  
            m1   ka_2x2_1023_3278                                5      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3279                                6      7.524     0.000        7.524 <none> (D)  
        i2       ka_8x8_63_994                                  93    238.374     0.000      238.374 <none> (D)  
          m1     ka_4x4_255_884                                 21     41.724     0.000       41.724 <none> (D)  
            m1   ka_2x2_1023_3282                                5      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3283                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_885                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3286                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3287                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_255_886                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3290                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3291                                6      7.524     0.000        7.524 <none> (D)  
        i3       ka_8x8_63_995                                  93    238.374     0.000      238.374 <none> (D)  
          m1     ka_4x4_255_888                                 21     41.724     0.000       41.724 <none> (D)  
            m1   ka_2x2_1023_3298                                5      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3299                                6      7.524     0.000        7.524 <none> (D)  
          m2     ka_4x4_255_889                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3302                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3303                                6      7.524     0.000        7.524 <none> (D)  
          m3     ka_4x4_255_890                                 26     57.798     0.000       57.798 <none> (D)  
            m1   ka_2x2_1023_3306                                6      7.524     0.000        7.524 <none> (D)  
            m2   ka_2x2_1023_3307                                6      7.524     0.000        7.524 <none> (D)  
