============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jun 27 2023  07:16:16 pm
  Module:                 NTTN
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                        Module                 Cell Count   Cell Area  Net Area   Total Area   Wireload  
--------------------------------------------------------------------------------------------------------------------------
NTTN                                                                402255 1863239.598     0.000  1863239.598 <none> (D)  
          FA_LOOP[17].fau FA_593                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[18].fau FA_594                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[19].fau FA_595                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[20].fau FA_596                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[21].fau FA_597                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[22].fau FA_598                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[23].fau FA_599                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[24].fau FA_600                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[25].fau FA_601                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[26].fau FA_602                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[27].fau FA_603                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[28].fau FA_604                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[29].fau FA_605                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[30].fau FA_606                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[31].fau FA_607                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[32].fau FA_608                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[33].fau FA_609                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[34].fau FA_610                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[35].fau FA_611                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[36].fau FA_612                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[37].fau FA_613                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[38].fau FA_614                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[39].fau FA_615                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[40].fau FA_616                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[41].fau FA_617                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[42].fau FA_618                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[43].fau FA_619                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[44].fau FA_620                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[45].fau FA_621                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[46].fau FA_622                                         1       3.762     0.000        3.762 <none> (D)  
      mr                  ModRed_4                                    2119    6643.350     0.000     6643.350 <none> (D)  
        genblk1[0].mrs    ModRed_sub_CURR_DATA60_NEXT_DATA51_4         702    2220.264     0.000     2220.264 <none> (D)  
        genblk1[1].mrs    ModRed_sub_CURR_DATA51_NEXT_DATA42_4         675    2068.074     0.000     2068.074 <none> (D)  
        mrsl              ModRed_sub_CURR_DATA42_NEXT_DATA32_4         637    1917.936     0.000     1917.936 <none> (D)  
    unit00                ShiftReg_SHIFT10_DATA30_4                    301    1847.484     0.000     1847.484 <none> (D)  
  NTT2_GEN_BLOCK[6].nttu  NTT2_6                                      5101   17105.472     0.000    17105.472 <none> (D)  
    mm                    ModMult_6                                   4353   13647.510     0.000    13647.510 <none> (D)  
      im                  intMult_6                                   2235    7004.160     0.000     7004.160 <none> (D)  
        CSA_LOOP[0].csau  CSA_12                                        30     134.748     0.000      134.748 <none> (D)  
          FA_LOOP[16].fau FA_784                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[17].fau FA_785                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[18].fau FA_786                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[19].fau FA_787                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[20].fau FA_788                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[21].fau FA_789                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[22].fau FA_790                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[23].fau FA_791                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[24].fau FA_792                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[25].fau FA_793                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[26].fau FA_794                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[27].fau FA_795                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[28].fau FA_796                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[29].fau FA_797                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[30].fau FA_798                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[31].fau FA_799                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[32].fau FA_800                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[33].fau FA_801                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[34].fau FA_802                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[35].fau FA_803                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[36].fau FA_804                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[37].fau FA_805                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[38].fau FA_806                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[39].fau FA_807                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[40].fau FA_808                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[41].fau FA_809                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[42].fau FA_810                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[43].fau FA_811                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[44].fau FA_812                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[45].fau FA_813                                         1       3.762     0.000        3.762 <none> (D)  
        CSA_LOOP[1].csau  CSA_13                                        30     132.012     0.000      132.012 <none> (D)  
          FA_LOOP[17].fau FA_849                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[18].fau FA_850                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[19].fau FA_851                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[20].fau FA_852                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[21].fau FA_853                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[22].fau FA_854                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[23].fau FA_855                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[24].fau FA_856                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[25].fau FA_857                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[26].fau FA_858                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[27].fau FA_859                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[28].fau FA_860                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[29].fau FA_861                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[30].fau FA_862                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[31].fau FA_863                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[32].fau FA_864                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[33].fau FA_865                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[34].fau FA_866                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[35].fau FA_867                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[36].fau FA_868                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[37].fau FA_869                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[38].fau FA_870                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[39].fau FA_871                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[40].fau FA_872                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[41].fau FA_873                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[42].fau FA_874                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[43].fau FA_875                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[44].fau FA_876                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[45].fau FA_877                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[46].fau FA_878                                         1       3.762     0.000        3.762 <none> (D)  
      mr                  ModRed_6                                    2118    6643.350     0.000     6643.350 <none> (D)  
        genblk1[0].mrs    ModRed_sub_CURR_DATA60_NEXT_DATA51_6         701    2220.264     0.000     2220.264 <none> (D)  
        genblk1[1].mrs    ModRed_sub_CURR_DATA51_NEXT_DATA42_6         675    2068.074     0.000     2068.074 <none> (D)  
        mrsl              ModRed_sub_CURR_DATA42_NEXT_DATA32_6         637    1917.936     0.000     1917.936 <none> (D)  
    unit00                ShiftReg_SHIFT10_DATA30_6                    301    1847.484     0.000     1847.484 <none> (D)  
  NTT2_GEN_BLOCK[7].nttu  NTT2_7                                      5099   17090.082     0.000    17090.082 <none> (D)  
    mm                    ModMult_7                                   4342   13620.492     0.000    13620.492 <none> (D)  
      im                  intMult_7                                   2235    7004.160     0.000     7004.160 <none> (D)  
        CSA_LOOP[0].csau  CSA_14                                        30     134.748     0.000      134.748 <none> (D)  
          FA_LOOP[16].fau FA_912                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[17].fau FA_913                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[18].fau FA_914                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[19].fau FA_915                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[20].fau FA_916                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[21].fau FA_917                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[22].fau FA_918                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[23].fau FA_919                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[24].fau FA_920                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[25].fau FA_921                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[26].fau FA_922                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[27].fau FA_923                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[28].fau FA_924                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[29].fau FA_925                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[30].fau FA_926                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[31].fau FA_927                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[32].fau FA_928                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[33].fau FA_929                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[34].fau FA_930                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[35].fau FA_931                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[36].fau FA_932                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[37].fau FA_933                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[38].fau FA_934                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[39].fau FA_935                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[40].fau FA_936                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[41].fau FA_937                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[42].fau FA_938                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[43].fau FA_939                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[44].fau FA_940                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[45].fau FA_941                                         1       3.762     0.000        3.762 <none> (D)  
        CSA_LOOP[1].csau  CSA_1                                         30     132.012     0.000      132.012 <none> (D)  
          FA_LOOP[17].fau FA_977                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[18].fau FA_978                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[19].fau FA_979                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[20].fau FA_980                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[21].fau FA_981                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[22].fau FA_982                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[23].fau FA_983                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[24].fau FA_984                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[25].fau FA_985                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[26].fau FA_986                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[27].fau FA_987                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[28].fau FA_988                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[29].fau FA_989                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[30].fau FA_990                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[31].fau FA_160                                         1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[32].fau FA_992                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[33].fau FA_993                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[34].fau FA_994                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[35].fau FA_995                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[36].fau FA_996                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[37].fau FA_997                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[38].fau FA_998                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[39].fau FA_999                                         1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[40].fau FA_1000                                        1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[41].fau FA_1001                                        1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[42].fau FA_1002                                        1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[43].fau FA_1003                                        1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[44].fau FA_1004                                        1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[45].fau FA_1005                                        1       5.130     0.000        5.130 <none> (D)  
          FA_LOOP[46].fau FA_1006                                        1       3.762     0.000        3.762 <none> (D)  
      mr                  ModRed_7                                    2107    6616.332     0.000     6616.332 <none> (D)  
        genblk1[0].mrs    ModRed_sub_CURR_DATA60_NEXT_DATA51_7         707    2207.952     0.000     2207.952 <none> (D)  
        genblk1[1].mrs    ModRed_sub_CURR_DATA51_NEXT_DATA42_7         670    2065.680     0.000     2065.680 <none> (D)  
        mrsl              ModRed_sub_CURR_DATA42_NEXT_DATA32_7         633    1916.226     0.000     1916.226 <none> (D)  
    unit00                ShiftReg_SHIFT10_DATA30_7                    301    1847.484     0.000     1847.484 <none> (D)  
